id,stage,parent,entry_fill,min_candle_pos,green_only,rel_vol,min_rr,early_pct,be_arm_r,trail_pct,sizing,rotation,passes,train_total_return_pct,val_total_return_pct,train_cagr,val_cagr,train_max_drawdown_pct,val_max_drawdown_pct,train_win_rate,val_win_rate,train_profit_factor,val_profit_factor,train_num_trades,val_num_trades,train_avg_holding_days,val_avg_holding_days,train_n_target_hit,val_n_target_hit,train_n_stop_hit,val_n_stop_hit
B063,B,A052,close,0.5,False,,1.0,80.0,,,fixed2L,none,False,-26.644186962336757,6.60314297493152,-8.500084332469493,4.354003800490891,39.56413531333053,17.805222394644886,0.441747572815534,0.5774647887323944,0.7507980338653167,1.1689938149811339,206,71,30.57766990291262,71.5774647887324,23,7,113,24
B064,B,A052,close,0.5,False,,1.0,80.0,,8.0,fixed2L,none,False,-32.665376701291514,-1.5134880269674134,-10.71947380325562,-1.0113248861455926,36.30917051469688,17.312831926176152,0.3622641509433962,0.40096618357487923,0.6703168450588087,0.9754344715404586,265,207,16.20377358490566,18.115942028985508,20,8,47,14
B065,B,A052,close,0.5,False,,1.0,80.0,,12.0,fixed2L,none,False,-28.717307645266878,-2.095001586714129,-9.24904389162161,-1.4012729413174996,38.75342559324543,18.304600026474382,0.4051724137931034,0.44274809160305345,0.7302851867643673,0.9561268315111005,232,131,24.25,33.69465648854962,25,8,80,18
B066,B,A052,close,0.5,False,,1.0,80.0,1.0,,fixed2L,none,False,-25.715712513989743,4.786794013528772,-8.16954275344779,3.1655301154349225,40.672952363495824,17.805222394644886,0.43842364532019706,0.5416666666666666,0.753369422622475,1.1251841615026892,203,72,31.039408866995075,70.41666666666667,22,7,111,25
B067,B,A052,close,0.5,False,,1.0,80.0,1.0,8.0,fixed2L,none,False,-32.665376701291514,-1.5134880269674134,-10.71947380325562,-1.0113248861455926,36.30917051469688,17.312831926176152,0.3622641509433962,0.40096618357487923,0.6703168450588087,0.9754344715404586,265,207,16.20377358490566,18.115942028985508,20,8,47,14
B068,B,A052,close,0.5,False,,1.0,80.0,1.0,12.0,fixed2L,none,False,-28.717307645266878,-2.095001586714129,-9.24904389162161,-1.4012729413174996,38.75342559324543,18.304600026474382,0.4051724137931034,0.44274809160305345,0.7302851867643673,0.9561268315111005,232,131,24.25,33.69465648854962,25,8,80,18
B069,B,A068,close,0.5,False,gt_1_2x20d,1.0,,,8.0,fixed2L,none,False,-40.10918817421904,-9.518137883897793,-13.668321859696809,-6.449174206541031,43.412194058579324,19.892291423388198,0.316,0.37433155080213903,0.5843196340714538,0.8365540647397137,250,187,18.028,20.641711229946523,50,37,47,13
B070,B,A068,close,0.5,False,gt_1_2x20d,1.0,,,12.0,fixed2L,none,False,-43.66480975907224,-3.105925611579463,-15.169955798826729,-2.0810165941558045,49.741918063431335,16.951917988595707,0.3170731707317073,0.4098360655737705,0.5801224005079283,0.933443217986238,205,122,27.614634146341462,37.27049180327869,56,36,81,16
B071,B,A068,close,0.5,False,gt_1_2x20d,1.0,,1.0,,fixed2L,none,False,-28.457259867221463,5.14294435965581,-9.154250775164407,3.3991045322131264,40.854798910141696,18.83297415852654,0.3717277486910995,0.4647887323943662,0.7182265887062343,1.1342713181034036,191,71,36.518324607329845,73.91549295774648,66,31,109,28
B072,B,A068,close,0.5,False,gt_1_2x20d,1.0,,1.0,8.0,fixed2L,none,False,-38.787083352149956,-9.518137883897793,-13.126187838241755,-6.449174206541031,41.90594360493709,19.892291423388198,0.321285140562249,0.37433155080213903,0.5905906776254254,0.8365540647397137,249,187,18.224899598393574,20.641711229946523,49,37,46,13
