time,open,high,low,close,EMA 9,EMA 21,Entry,TP,SL
1750995900,224.9,227.25,222.67,225.98,218.6200526700999,215.08377998247605,0,0,0
1751255100,226,226.36,220.8,222.39,219.37404213607994,215.74798180225096,0,0,0
1751341500,223.4,224,221.33,223.11,220.12123370886394,216.4172561838645,0,0,0
1751427900,223.5,226.35,222.15,222.81,220.65898696709115,216.9984147126041,0,0,0
1751514300,222.81,223.46,220.3,220.72,220.67118957367293,217.3367406478219,0,0,0
1751600700,221.9,221.9,218.6,220.64,220.66495165893835,217.63703695256535,0,0,0
1751859900,220.64,220.92,217.5,218.32,220.19596132715068,217.69912450233213,0,0,0
1751946300,219.5,224.39,219.41,223.48,220.85276906172055,218.22465863848376,0,0,0
1752032700,223.48,232,222.05,227.57,222.19621524937645,219.07423512589432,0,0,0
1752119100,228.7,235,226.93,229.41,223.63897219950115,220.01385011444938,0,0,0
1752205500,229.4,235.55,228.51,232.37,225.38517775960094,221.13713646768124,0,0,0
1752464700,233.85,233.85,229.1,231.46,226.60014220768076,222.07557860698296,0,0,0
1752551100,231.46,231.99,227.85,228.29,226.9381137661446,222.64052600634815,0,0,0
1752637500,229,244.4,225,238.49,229.24849101291568,224.0813872784983,0,0,0
1752723900,242.55,245.19,233.37,242.1,231.81879281033255,225.719442980453,0,0,0
1752810300,242,256.58,241.49,254.75,236.40503424826605,228.35858452768454,0,0,0
1753069500,255,261.62,249.33,251.37,239.39802739861284,230.45053138880414,0,0,0
1753155900,252,255.4,245.74,246.96,240.91042191889028,231.95139217164012,0,0,0
1753242300,248.55,250.55,243.01,243.51,241.43033753511222,233.00217470149101,0,0,0
1753328700,243.5,249.4,242.89,247.04,242.55227002808977,234.2783406377191,0,0,0
1753415100,246.79,246.86,240,240.68,242.1778160224718,234.86030967065375,0,0,0
1753674300,240.68,243.57,234.05,235.37,240.81625281797744,234.90664515513978,0,0,0
1753760700,234.51,238.5,232.95,233.67,239.38700225438194,234.7942228683089,0,0,0
1753847100,234.4,239.61,233,234.59,238.42760180350555,234.7756571530081,0,0,0
1753933500,232,236.34,230,230.45,236.83208144280445,234.3824155936437,0,0,0
1754019900,231,232.17,223.63,224.22,234.30966515424356,233.4585596305852,0,0,0
1754279100,225,231.3,222.4,229.22,233.29173212339484,233.07323602780474,0,0,0
1754365500,229.25,232.7,229,231.81,232.99538569871586,232.9583963889134,0,0,0
1754451900,232,235.45,229.52,232.05,232.8063085589727,232.87581489901217,0,0,0
1754538300,230.91,235.5,229.61,234.71,233.18704684717815,233.04255899910197,0,0,0
1754624700,234.7,240.9,232.97,233.4,233.22963747774253,233.07505363554725,0,0,0
1754883900,232.8,233.1,228.1,228.57,232.29770998219402,232.66550330504296,0,0,0
1754970300,229.99,232.35,226.5,227.81,231.40016798575522,232.22409391367543,0,0,0
1755056700,228.95,230.5,226.56,228.88,230.89613438860417,231.92008537606858,0,0,0
1755143100,228.89,229.68,227.67,228.81,230.47890751088335,231.63735034188053,0,0,0
1755488700,231.9,235,228.94,232.97,230.97712600870668,231.75850031080049,0,0,0
1755575100,233.6,237.97,231.06,233.7,231.52170080696533,231.9350002825459,0,0,0
1755661500,234.5,249,233.48,246.04,234.42536064557225,233.21727298413265,0,0,0
1755747900,247.9,251.5,245.25,249.85,237.5102885164578,234.72933907648422,0,0,0
1755834300,248.01,248.96,244,244.8,238.96823081316623,235.64485370589475,0,0,0
1756093500,242.55,245.43,240.3,243.67,239.908584650533,236.3744124599043,0,0,0
1756179900,242.5,242.93,237,239.17,239.76086772042638,236.6285567817312,0,0,0
1756352700,240,240.1,235.1,238.43,239.4946941763411,236.79232434702837,0,0,0
1756439100,238.43,242.44,236.42,238.42,239.2797553410729,236.94029486093487,0,0,0
1756698300,238.42,246.95,238.08,244.39,240.3018042728583,237.61754078266807,0,0,0
1756784700,246,249.99,243.4,247.86,241.81344341828665,238.54867343878917,0,0,0
1756871100,248.7,253.4,248,250.65,243.58075473462932,239.64879403526288,0,0,0
1756957500,253.4,253.67,242,242.87,243.43860378770347,239.94163094114808,0,0,0
1757043900,243.9,245.64,241.5,243.79,243.50888303016276,240.291482673771,0,0,0
1757303100,244,246.26,239.74,240.25,242.85710642413022,240.28771152161,0,0,0
1757389500,242.18,244.87,240.81,244.26,243.13768513930418,240.64882865600907,0,0,0
1757475900,245.9,248.55,244.53,246.31,243.77214811144336,241.1634805963719,0,0,0
1757562300,246.8,248.7,245.2,246.79,244.37571848915468,241.67498236033808,0,0,0
1757648700,247.95,251.23,246.82,247.59,245.01857479132374,242.21271123667097,0,0,0
1757907900,247.99,248,243.06,243.68,244.750859833059,242.34610112424633,0,0,0
1757994300,244.6,246,243.37,245.09,244.8186878664472,242.59554647658757,0,0,0
1758080700,246,246,240.21,242.2,244.29495029315774,242.5595877059887,0,0,0
1758167100,243,243.3,240.65,241.43,243.7219602345262,242.45689791453518,0,0,0
1758253500,241.5,243.11,236,236.74,242.32556818762095,241.9371799223047,0,0,0
1758512700,237.3,240.2,235.25,239.21,241.70245455009675,241.68925447482246,0,0,0
1758599100,239.2,239.21,236.05,237.1,240.7819636400774,241.27204952256588,0,0,0
1758685500,237,237,227.63,228.25,238.27557091206194,240.08822683869624,0,0,0
1758771900,227.64,231.36,227.64,229.2,236.46045672964954,239.0983880351784,0,0,0
1758858300,229.8,229.8,223.8,224.72,234.11236538371963,237.7912618501622,0,0,0
1759117500,228.25,237.63,222.93,230.7,233.42989230697572,237.14660168196562,0,0,0
1759203900,232,232,226.3,227.27,232.1979138455806,236.24872880178694,0,0,0
1759290300,227,227.2,220.66,221.46,230.05033107646446,234.9042989107154,0,0,0
1759463100,221,221.65,215.01,218.45,227.73026486117158,233.40845355519582,0,0,0
1759722300,218.5,219.75,212.01,215.58,225.30021188893727,231.78768505017803,0,0,0
1759808700,214.36,219.55,214.3,218.91,224.02216951114983,230.61698640925275,0,0,0
1759895100,218.9,218.9,213.1,214.81,222.17973560891986,229.17998764477522,0,0,0
